      r(lam/D)    r(arcsec)       I            contrast       core_thruput      PSF_peak     area(sq_arcsec)    occ_trans
      2.70000     0.128699   7.2127686e-12   9.2502039e-09    0.0057534806   0.00077974159    0.0020332676    0.0042041007
      3.00000     0.142999   3.8144395e-12   2.7798348e-09     0.010177500    0.0013721821    0.0020481634      0.26489565
      3.30000     0.157299   1.8536469e-12   8.8589080e-10     0.015567096    0.0020924101    0.0020556112      0.23484169
      3.60000     0.171598   1.5890446e-12   6.3911259e-10     0.018421678    0.0024863297    0.0020556112      0.23055136
      3.90000     0.185898   2.1866609e-12   8.2759617e-10     0.019613995    0.0026421834    0.0020556112      0.23373368
      4.20000     0.200198   2.4631615e-12   8.8488062e-10     0.020714155    0.0027836088    0.0020630591      0.23469693
      4.50000     0.214498   2.1464797e-12   7.3746844e-10     0.021722157    0.0029106055    0.0020779548      0.23323099
      4.80000     0.228798   1.7036882e-12   5.6289506e-10     0.022431438    0.0030266532    0.0020556112      0.23128236
      5.10000     0.243098   1.6154853e-12   5.2406002e-10     0.022807502    0.0030826342    0.0020481634      0.23103845
      5.40000     0.257398   1.9128573e-12   6.2135043e-10     0.022850350    0.0030785483    0.0020556112      0.23285936
      5.70000     0.271698   2.2035513e-12   7.1478921e-10     0.022880924    0.0030827988    0.0020556112      0.23450229
      6.00000     0.285997   2.4651675e-12   8.0231072e-10     0.022792243    0.0030725845    0.0020556112      0.23428544
      6.30000     0.300297   2.7023056e-12   8.8073718e-10     0.022734498    0.0030682315    0.0020528183      0.23311818
      6.60000     0.314597   2.7617551e-12   9.0166087e-10     0.022657623    0.0030629644    0.0020481634      0.23314329
      6.90000     0.328897   2.5268985e-12   8.2665285e-10     0.022561621    0.0030567832    0.0020416465      0.23396890
      7.20000     0.343197   2.4194534e-12   7.9334460e-10     0.022446490    0.0030496879    0.0020332676      0.23446711
      7.50000     0.357497   2.6104839e-12   8.5726722e-10     0.022441623    0.0030451227    0.0020369916      0.23391036
      7.80000     0.371797   2.7052620e-12   8.8959002e-10     0.022469386    0.0030410210    0.0020444394      0.23296341
      8.10000     0.386097   2.6360607e-12   8.6787231e-10     0.022529777    0.0030373831    0.0020556112      0.23301899
      8.40000     0.400396   2.8009274e-12   9.2232331e-10     0.021943265    0.0030368173    0.0019885794      0.23387307
      8.70000     0.414696   4.2215079e-12   1.3854123e-09     0.015616426    0.0030471131    0.0013853015      0.23462333
      9.00000     0.428996   3.2181705e-12   1.2391286e-09    0.0087064133    0.0025971239   0.00093843119      0.23397018
      9.30000     0.443296   4.7819084e-15   8.5120392e-12    0.0037575633   0.00056178177   0.00073733879      0.23320837
